Observation period,TOA,Clear sky GHI,Clear sky BHI,Clear sky DHI,Clear sky BNI,GHI,BHI,DHI,BNI,Reliability
2013-03-03T00:00:00.0/2013-03-04T00:00:00.0,6220.2593,4641.2793,3719.2556,922.0234,8018.1465,3753.6592,2620.5056,1133.1838,5157.8013,0.9951
2013-03-04T00:00:00.0/2013-03-05T00:00:00.0,6294.9028,4681.2671,3707.1479,974.1193,7950.3936,4474.0195,3528.2847,945.7352,7331.6724,0.9819
2013-03-05T00:00:00.0/2013-03-06T00:00:00.0,6369.7593,4831.9805,4010.8220,821.1585,8602.3340,4645.1104,3821.3157,823.7949,7883.0430,0.9799
2013-03-06T00:00:00.0/2013-03-07T00:00:00.0,6444.7920,4456.9409,2775.9495,1680.9913,5629.5073,2591.7236,736.1225,1855.8217,1444.4952,0.9861
2013-03-07T00:00:00.0/2013-03-08T00:00:00.0,6520.0474,3972.9812,1806.2224,2166.7588,3446.4109,1843.7615,247.0992,1596.6725,444.7248,0.9847
2013-03-08T00:00:00.0/2013-03-09T00:00:00.0,6595.5098,4348.1030,2448.2566,1899.8466,4713.7402,2569.3899,698.3538,1871.0360,1334.7030,1.0000
2013-03-09T00:00:00.0/2013-03-10T00:00:00.0,6671.0635,4787.6440,3643.3433,1144.3010,7335.3062,2429.6470,530.3347,1899.8641,1114.6040,0.9896
2013-03-10T00:00:00.0/2013-03-11T00:00:00.0,6746.7168,4882.2134,3731.2239,1150.9893,7484.3735,2624.5864,849.7953,1777.4835,1767.3673,0.9993
2013-03-11T00:00:00.0/2013-03-12T00:00:00.0,6822.4648,5004.1343,3969.6433,1034.4910,7960.4487,2681.4077,1033.1541,1656.6337,1784.1691,0.9979
2013-03-12T00:00:00.0/2013-03-13T00:00:00.0,6898.2720,5029.0391,3938.5518,1090.4873,7816.6992,2847.3694,1039.3090,1808.3845,1965.2024,0.9965
2013-03-13T00:00:00.0/2013-03-14T00:00:00.0,6974.0981,5131.2207,4014.3811,1116.8396,7986.4019,1691.5200,189.7728,1501.7472,545.9542,0.9944
2013-03-14T00:00:00.0/2013-03-15T00:00:00.0,7049.9189,4565.1665,2377.4795,2187.6870,4292.8154,1640.3862,183.4614,1460.5131,327.9259,0.9924
2013-03-15T00:00:00.0/2013-03-16T00:00:00.0,7125.7598,5302.5469,4238.7617,1063.7852,8322.9141,3591.3418,1525.5066,2065.9858,2957.0391,0.9951
2013-03-16T00:00:00.0/2013-03-17T00:00:00.0,7201.4810,5214.9038,3646.9829,1567.9209,6998.1270,3957.5244,1790.7367,2166.8540,3212.0430,0.9944
2013-03-17T00:00:00.0/2013-03-18T00:00:00.0,7277.1616,5552.0547,4526.5430,1025.5117,8862.4268,3553.9014,1466.6586,2087.2429,3371.9270,0.9931
2013-03-18T00:00:00.0/2013-03-19T00:00:00.0,7352.7720,5111.4702,3296.3804,1815.0901,6162.5371,2267.7351,506.2038,1763.4595,1111.8579,1.0000
2013-03-19T00:00:00.0/2013-03-20T00:00:00.0,7428.2329,5381.4663,3926.0188,1455.4475,7397.3657,1788.8633,424.3250,1367.6110,1087.7238,1.0000
2013-03-20T00:00:00.0/2013-03-21T00:00:00.0,7503.5396,5737.6699,4880.1206,857.5494,9384.1084,5535.7827,4600.8564,934.9261,8778.2295,0.9993
2013-03-21T00:00:00.0/2013-03-22T00:00:00.0,7578.6689,4840.7280,2333.6204,2507.1077,4149.8403,1610.1172,114.7500,1497.5704,241.6753,0.9979
2013-03-22T00:00:00.0/2013-03-23T00:00:00.0,7653.6045,5072.0322,2752.2375,2319.7947,4887.6558,1905.6897,200.1831,1712.6299,330.8814,0.9958
2013-03-23T00:00:00.0/2013-03-24T00:00:00.0,7728.3340,5934.1782,4974.9492,959.2288,9332.6240,5752.5693,4816.3535,936.2159,8998.8389,0.9944
2013-03-24T00:00:00.0/2013-03-25T00:00:00.0,7802.8281,5244.0625,2939.7295,2304.3328,5217.2388,3665.5825,1228.2710,2439.7839,2077.5244,0.9944
2013-03-25T00:00:00.0/2013-03-26T00:00:00.0,7877.0586,4480.1934,1606.4540,2873.7390,2621.7915,1099.9180,78.7974,1040.7393,123.5149,0.9896
2013-03-26T00:00:00.0/2013-03-27T00:00:00.0,7951.0054,5283.4004,2725.3472,2558.0532,4608.0786,1456.5192,96.0325,1365.9169,173.2831,0.9875
2013-03-27T00:00:00.0/2013-03-28T00:00:00.0,8024.6968,5575.6655,3398.8962,2176.7693,5908.1519,1280.3151,73.0197,1222.3414,126.3967,0.9903
2013-03-28T00:00:00.0/2013-03-29T00:00:00.0,8098.0005,5897.7495,4269.5796,1628.1699,7538.7666,1706.0739,115.1702,1601.6122,204.2212,0.9896
2013-03-29T00:00:00.0/2013-03-30T00:00:00.0,8171.0049,5555.5728,3062.2966,2493.2761,5336.6875,1156.4463,119.9944,1058.8645,185.1618,0.9986
2013-03-30T00:00:00.0/2013-03-31T00:00:00.0,8243.6475,5681.6167,3612.8982,2068.7188,5982.3184,1959.7867,180.4927,1787.9360,336.7628,0.9972
2013-03-31T00:00:00.0/2013-04-01T00:00:00.0,8315.9502,5446.4468,2998.1848,2448.2617,5062.2227,1655.7673,128.2385,1545.7402,236.5822,0.9958
2013-04-01T00:00:00.0/2013-04-02T00:00:00.0,8387.8262,6286.7412,5046.0078,1240.7335,8937.5547,5281.3916,3696.0259,1585.6052,5880.0435,0.9944
2013-04-02T00:00:00.0/2013-04-03T00:00:00.0,8459.2822,5945.2261,3902.2903,2042.9357,6577.6948,2815.5601,470.8913,2349.0278,745.0499,0.9931
2013-04-03T00:00:00.0/2013-04-04T00:00:00.0,8530.2734,5515.7397,2831.7114,2684.0286,4554.4668,1259.2172,165.2312,1104.5017,246.8203,0.9708
