Observation period,TOA,Clear sky GHI,Clear sky BHI,Clear sky DHI,Clear sky BNI,GHI,BHI,DHI,BNI,Reliability
2013-03-02T00:00:00.0/2013-03-03T00:00:00.0,5634.8506,4240.6123,3315.2891,925.3234,7746.2251,1884.7000,413.6336,1472.0139,1237.4089,0.9910
2013-03-03T00:00:00.0/2013-03-04T00:00:00.0,5712.4272,4271.3369,3471.3364,800.0004,8066.5298,3197.0618,1606.9843,1590.0774,3950.2964,0.9889
2013-03-04T00:00:00.0/2013-03-05T00:00:00.0,5790.3975,4469.8589,3757.7456,712.1133,8758.6279,3535.6772,2191.2725,1344.4048,5149.1841,0.9896
2013-03-05T00:00:00.0/2013-03-06T00:00:00.0,5868.6782,4485.5342,3709.5715,775.9629,8615.1816,3146.3501,1395.3749,1750.9752,3668.8811,0.9896
2013-03-06T00:00:00.0/2013-03-07T00:00:00.0,5947.3003,4566.5591,3733.7366,832.8222,8528.1865,3394.9043,1774.7162,1620.1881,4629.1670,0.9896
2013-03-07T00:00:00.0/2013-03-08T00:00:00.0,6026.1470,3783.4155,1852.3051,1931.1104,3894.7778,1479.2294,129.3813,1351.3452,276.7749,0.9896
2013-03-08T00:00:00.0/2013-03-09T00:00:00.0,6105.3130,3920.5898,1993.3203,1927.2694,4115.1733,1044.9082,74.1733,983.9056,139.8270,0.9979
2013-03-09T00:00:00.0/2013-03-10T00:00:00.0,6184.6816,4184.7104,2565.7922,1618.9182,5382.2744,1272.3898,171.6932,1111.1299,409.7642,0.9854
2013-03-10T00:00:00.0/2013-03-11T00:00:00.0,6264.2783,4176.8867,2367.7029,1809.1840,4921.1855,1093.5767,74.1224,1026.4695,147.1795,0.9931
2013-03-11T00:00:00.0/2013-03-12T00:00:00.0,6344.0244,4550.9678,3400.1167,1150.8510,7211.0386,1175.7960,109.7404,1072.3514,269.9953,0.9910
2013-03-12T00:00:00.0/2013-03-13T00:00:00.0,6423.9390,4746.6748,3767.8909,978.7839,8037.9712,1859.3373,333.4802,1530.5496,831.4188,0.9937
2013-03-13T00:00:00.0/2013-03-14T00:00:00.0,6503.9507,4695.1128,3478.9507,1216.1617,7337.7861,1631.9430,167.2420,1464.7831,438.7943,1.0000
2013-03-14T00:00:00.0/2013-03-15T00:00:00.0,6584.0386,4453.0195,2555.9048,1897.1145,5156.6328,971.2147,60.2901,934.2047,126.5385,1.0000
2013-03-15T00:00:00.0/2013-03-16T00:00:00.0,6664.2393,4800.1367,3570.6616,1229.4752,7182.9795,2398.1562,630.2865,1768.6649,1355.6605,1.0000
2013-03-16T00:00:00.0/2013-03-17T00:00:00.0,6744.4287,5135.6416,4132.7266,1002.9153,8599.8281,4856.9858,3794.0032,1062.9827,7413.5962,0.9986
2013-03-17T00:00:00.0/2013-03-18T00:00:00.0,6824.6719,5363.1230,4681.0420,682.0812,9925.8711,4997.7539,3868.5312,1129.2228,8013.5195,0.9972
2013-03-18T00:00:00.0/2013-03-19T00:00:00.0,6904.8560,5156.3301,4074.7405,1081.5896,8402.3906,3900.9966,1741.8040,2159.1926,3624.8667,0.9951
2013-03-19T00:00:00.0/2013-03-20T00:00:00.0,6985.0688,4775.4058,2875.5247,1899.8811,5640.0757,2051.0896,510.5714,1541.7209,1228.4730,0.9917
2013-03-20T00:00:00.0/2013-03-21T00:00:00.0,7065.1470,5422.9629,4558.3301,864.6331,9340.3438,4462.1016,2912.1370,1549.9646,6366.1416,0.9896
2013-03-21T00:00:00.0/2013-03-22T00:00:00.0,7145.1611,5021.6094,3274.0530,1747.5565,6201.7158,2697.7451,703.4366,1997.4451,1432.3973,0.9958
2013-03-22T00:00:00.0/2013-03-23T00:00:00.0,7225.0322,4617.5640,2235.1831,2382.3806,4127.0371,1142.2378,65.6961,1091.3755,127.5588,0.9958
2013-03-23T00:00:00.0/2013-03-24T00:00:00.0,7304.7417,5406.2778,4039.3025,1366.9756,7868.1919,4153.7197,1917.2949,2236.6416,3782.5273,0.9986
2013-03-24T00:00:00.0/2013-03-25T00:00:00.0,7384.3438,5988.9521,5246.3262,742.6261,10584.2988,4954.6846,2890.2063,2064.4780,5815.5732,0.9972
2013-03-25T00:00:00.0/2013-03-26T00:00:00.0,7463.7134,5118.5845,3133.7329,1984.8513,5948.5317,2886.9534,908.6381,1983.7092,1647.8219,0.9958
2013-03-26T00:00:00.0/2013-03-27T00:00:00.0,7542.9131,4985.3232,2613.9082,2371.4150,4703.2173,1325.5737,106.5830,1237.8817,179.7842,0.9944
2013-03-27T00:00:00.0/2013-03-28T00:00:00.0,7621.8457,5488.5176,3831.2964,1657.2209,7189.4912,1627.5341,194.7457,1442.0750,485.4336,0.9931
2013-03-28T00:00:00.0/2013-03-29T00:00:00.0,7700.5532,5507.1602,3761.4138,1745.7465,6976.9663,1693.6869,104.4926,1589.2073,289.9025,0.9910
2013-03-29T00:00:00.0/2013-03-30T00:00:00.0,7778.9614,5597.0054,3918.4690,1678.5364,7220.6187,2020.6854,259.7997,1763.0642,413.7343,0.9889
2013-03-30T00:00:00.0/2013-03-31T00:00:00.0,7857.0620,5548.5195,3731.3364,1817.1831,6883.0903,1529.4801,160.4642,1379.1886,360.8652,0.9979
2013-03-31T00:00:00.0/2013-04-01T00:00:00.0,7934.8896,5200.0415,2983.4124,2216.6294,5188.2705,1484.0739,94.1236,1401.0430,166.7834,0.9944
2013-04-01T00:00:00.0/2013-04-02T00:00:00.0,8012.3379,5968.3525,4865.3994,1102.9534,9075.6113,3665.4189,1772.6852,1892.8934,3181.6663,0.9965
2013-04-02T00:00:00.0/2013-04-03T00:00:00.0,8089.4590,5929.2793,4400.4019,1528.8773,8043.2866,3466.7905,1022.3934,2447.4807,1740.0221,0.9951
2013-04-03T00:00:00.0/2013-04-04T00:00:00.0,8166.1699,5230.2109,2631.0371,2599.1738,4545.1826,1759.7183,121.7188,1641.8645,255.5889,0.9729
2013-04-04T00:00:00.0/2013-04-05T00:00:00.0,8242.4990,4939.8926,2064.1157,2875.7769,3473.2385,1418.3909,68.6019,1365.0980,121.5496,0.9819
2013-04-05T00:00:00.0/2013-04-06T00:00:00.0,8318.3877,5767.2944,3862.6838,1904.6108,6940.1538,2347.5378,333.5109,2019.2848,584.5829,0.9910
