Observation period,TOA,Clear sky GHI,Clear sky BHI,Clear sky DHI,Clear sky BNI,GHI,BHI,DHI,BNI,Reliability
2013-03-29T00:00:00.0/2013-03-30T00:00:00.0,7885.8682,5617.0283,3831.4084,1785.6200,7009.9370,2923.6086,721.4402,2206.6030,1213.1035,0.9979
2013-03-30T00:00:00.0/2013-03-31T00:00:00.0,7962.5688,5655.8286,3898.2085,1757.6202,6997.4795,1963.3853,216.2697,1759.7507,429.7444,0.9965
2013-03-31T00:00:00.0/2013-04-01T00:00:00.0,8038.9121,5482.1279,3428.1509,2053.9773,6126.1836,1762.9973,110.1727,1653.2324,216.8084,0.9951
2013-04-01T00:00:00.0/2013-04-02T00:00:00.0,8114.8916,5887.9868,4258.7520,1629.2349,7725.5752,1697.8401,95.8154,1605.1884,189.4537,0.9931
2013-04-02T00:00:00.0/2013-04-03T00:00:00.0,8190.5303,5868.8960,4058.7246,1810.1715,7145.6025,2938.9407,602.6152,2338.1211,1060.7263,0.9903
2013-04-03T00:00:00.0/2013-04-04T00:00:00.0,8265.7129,5320.0488,2685.5923,2634.4568,4559.7837,1382.5980,64.0384,1328.5414,120.1249,0.9681
2013-04-04T00:00:00.0/2013-04-05T00:00:00.0,8340.5049,5647.7793,3334.1799,2313.5994,5735.4419,1751.8512,117.4748,1651.2325,191.1934,0.9903
2013-04-05T00:00:00.0/2013-04-06T00:00:00.0,8414.8994,5467.2407,2907.1567,2560.0840,4978.3486,1707.9034,81.4120,1633.8440,164.7886,0.9840
2013-04-06T00:00:00.0/2013-04-07T00:00:00.0,8488.8018,6077.2812,4363.6992,1713.5820,7538.5376,2239.1968,244.4423,2006.5164,450.6647,0.9979
2013-04-07T00:00:00.0/2013-04-08T00:00:00.0,8562.2168,6172.9365,4445.6113,1727.3252,7627.8843,1748.6996,94.8575,1663.0573,184.0769,0.9965
2013-04-08T00:00:00.0/2013-04-09T00:00:00.0,8635.1758,6092.5518,4077.2893,2015.2623,6973.9800,2263.9241,244.6012,2025.2429,403.8869,0.9431
2013-04-09T00:00:00.0/2013-04-10T00:00:00.0,8707.5771,6125.9751,4073.7065,2052.2688,6955.3267,2967.0305,616.3538,2352.5022,1088.3503,0.8896
2013-04-10T00:00:00.0/2013-04-11T00:00:00.0,8779.4629,6472.6772,5051.7754,1420.9021,8739.2100,3486.8137,868.7316,2618.0823,1594.1757,0.9819
